Datum,Název,Místo konání,Popis
03.08.2025,Bleší trh Golčův Jeníkov,Golčův Jeníkov,všeobecné (bleší trh)
09.08.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
09.08.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
09.08.2025,Sobotní trhy Ústí nad Labem,Ústí nad Labem,všeobecné (bleší trh)
09.08.2025,Bleší trhy Most,Most,všeobecné (bleší trh)
09.08.2025,Liberecké Všehotrhy,Liberec 7,všeobecné (bleší trh)
10.08.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
10.08.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
10.08.2025,Bleší a farmářské trhy,Málkov,všeobecné (bleší trh)
16.08.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
16.08.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
16.08.2025,Sobotní trhy Ústí nad Labem,Ústí nad Labem,všeobecné (bleší trh)
16.08.2025,Bleší trhy Most,Most,všeobecné (bleší trh)
17.08.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
17.08.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
17.08.2025,Bleší a farmářské trhy,Málkov,všeobecné (bleší trh)
17.08.2025,Burza Držkov,Držkov,auto-moto, všeobecné (bleší trh)
23.08.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
23.08.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
23.08.2025,Sobotní trhy Ústí nad Labem,Ústí nad Labem,všeobecné (bleší trh)
23.08.2025,Bleší trhy Most,Most,všeobecné (bleší trh)
23.08.2025,Liberecké Všehotrhy,Liberec 7,všeobecné (bleší trh)
23.08.2025,Bleší trhy a ARTTRH Brno,Brno,všeobecné (bleší trh), ostatní
24.08.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
24.08.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
24.08.2025,Bleší a farmářské trhy,Málkov,všeobecné (bleší trh)
24.08.2025,Bleší trhy Přerov,Přerov,všeobecné (bleší trh)
30.08.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
30.08.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
30.08.2025,Sobotní trhy Ústí nad Labem,Ústí nad Labem,všeobecné (bleší trh)
30.08.2025,Bleší trhy Most,Most,všeobecné (bleší trh)
30.08.2025,Burza ZÁTOKA,Slavonice - Vlastkovec,všeobecné (bleší trh)
31.08.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
31.08.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
31.08.2025,Bleší a farmářské trhy,Málkov,všeobecné (bleší trh)
31.08.2025,Burza Držkov,Držkov,auto-moto, všeobecné (bleší trh)
31.08.2025,Burza ZÁTOKA,Slavonice - Vlastkovec,všeobecné (bleší trh)
05.09.2025,Zákupské trhy,Zákupy,všeobecné (bleší trh)
06.09.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
